user_id,subscribed_platform
86,Leetcode
13,HackerRank
79,HackerRank
50,CodeChef
65,HackerRank
97,Kaggle
1,CodeChef
3,Leetcode
23,HackerRank
85,HackerRank
99,Leetcode
3,Leetcode
59,HackerRank
65,Leetcode
44,Kaggle
24,Leetcode
40,Kaggle
10,CodeForces
55,HackerRank
67,CodeChef
42,Kaggle
59,CodeChef
9,CodeForces
55,CodeForces
33,CodeChef
85,CodeChef
2,HackerRank
43,Leetcode
3,Leetcode
18,Kaggle
91,Kaggle
4,HackerRank
24,Kaggle
23,Kaggle
34,HackerRank
17,Kaggle
95,HackerRank
22,Leetcode
57,CodeChef
38,CodeChef
26,HackerRank
15,Leetcode
70,Leetcode
95,Kaggle
29,Kaggle
45,CodeChef
29,CodeChef
93,CodeChef
15,CodeForces
42,CodeChef
39,HackerRank
53,HackerRank
79,Kaggle
97,HackerRank
62,Kaggle
15,Kaggle
26,Kaggle
9,HackerRank
89,CodeForces
21,Kaggle
44,Leetcode
16,CodeChef
7,Kaggle
61,HackerRank
65,Kaggle
23,CodeChef
8,CodeForces
94,HackerRank
92,CodeForces
28,HackerRank
52,HackerRank
20,CodeChef
13,HackerRank
15,HackerRank
80,CodeForces
37,HackerRank
91,HackerRank
78,Leetcode
1,Leetcode
98,CodeChef
47,CodeChef
19,CodeChef
41,HackerRank
58,CodeChef
39,CodeChef
100,CodeChef
24,Kaggle
31,Leetcode
62,Leetcode
9,CodeChef
11,CodeForces
41,CodeChef
32,CodeForces
60,Kaggle
52,Leetcode
17,Kaggle
40,CodeForces
57,Leetcode
42,CodeForces
56,Leetcode
46,Kaggle
28,Kaggle
20,Kaggle
40,CodeForces
42,CodeChef
30,CodeChef
7,Kaggle
95,Kaggle
55,CodeChef
49,Leetcode
45,HackerRank
35,CodeChef
29,CodeChef
95,CodeForces
95,Leetcode
73,Kaggle
75,CodeChef
3,CodeForces
66,Leetcode
2,Leetcode
40,Kaggle
53,HackerRank
21,Kaggle
32,HackerRank
81,Leetcode
93,CodeForces
39,Kaggle
13,Leetcode
88,Leetcode
74,HackerRank
28,Leetcode
17,Kaggle
84,CodeChef
36,Leetcode
1,CodeForces
59,Kaggle
60,Leetcode
91,Leetcode
21,HackerRank
57,CodeChef
87,Leetcode
2,HackerRank
68,Kaggle
75,CodeForces
75,HackerRank
15,CodeForces
98,HackerRank
80,Kaggle
44,CodeChef
97,Leetcode
87,CodeForces
72,CodeChef
20,Leetcode
56,HackerRank
27,Kaggle
52,CodeForces
90,CodeChef
51,CodeForces
85,Leetcode
73,CodeForces
63,CodeChef
78,Leetcode
28,HackerRank
97,CodeChef
100,CodeChef
67,Kaggle
56,CodeChef
28,HackerRank
33,CodeForces
21,Kaggle
4,HackerRank
49,Leetcode
15,HackerRank
73,Kaggle
13,Leetcode
7,CodeForces
54,CodeForces
66,Kaggle
43,HackerRank
85,CodeChef
61,CodeForces
53,Kaggle
2,CodeForces
66,Kaggle
44,CodeChef
68,CodeChef
99,HackerRank
98,CodeChef
24,Leetcode
97,HackerRank
67,CodeForces
33,Leetcode
49,CodeForces
93,CodeForces
94,Leetcode
87,Leetcode
66,CodeChef
66,CodeForces
94,Leetcode
94,Kaggle
61,Leetcode
24,CodeForces
58,HackerRank
41,Leetcode
30,Leetcode
11,CodeForces
62,Leetcode
61,Kaggle
66,CodeChef
1,Leetcode
60,HackerRank
71,Kaggle
96,CodeChef
44,Kaggle
76,Leetcode
52,HackerRank
66,Kaggle
8,HackerRank
75,Leetcode
15,HackerRank
97,Leetcode
57,Kaggle
67,CodeChef
51,Leetcode
71,Leetcode
70,Leetcode
12,Kaggle
48,CodeChef
90,Kaggle
26,Leetcode
36,Leetcode
39,HackerRank
37,Kaggle
49,CodeChef
87,CodeForces
60,CodeForces
83,Leetcode
75,Kaggle
20,Kaggle
93,HackerRank
38,HackerRank
93,Kaggle
45,HackerRank
78,Kaggle
75,CodeForces
6,CodeForces
86,Kaggle
22,HackerRank
6,HackerRank
69,Kaggle
38,Kaggle
92,Leetcode
28,CodeChef
27,HackerRank
39,Leetcode
74,Kaggle
60,CodeForces
38,HackerRank
40,CodeForces
88,Kaggle
59,CodeChef
34,CodeChef
63,Kaggle
23,Leetcode
93,CodeForces
18,Kaggle
62,Leetcode
2,CodeChef
44,CodeForces
92,CodeForces
49,CodeForces
22,Leetcode
99,Leetcode
21,Kaggle
100,Kaggle
25,Leetcode
44,CodeChef
16,HackerRank
41,Kaggle
