user_id,contest_id
51,2
100,69
51,1
87,77
66,23
51,100
66,3
77,26
26,50
7,95
30,29
88,60
95,83
22,45
8,82
78,91
100,99
9,45
57,44
35,66
34,39
7,75
37,5
32,19
51,22
11,92
89,95
97,67
10,44
8,2
43,89
12,97
97,60
100,18
62,59
81,60
77,80
97,18
4,29
76,100
59,84
91,33
35,81
1,9
26,44
4,59
7,39
99,33
16,16
85,86
94,22
85,50
87,91
71,72
32,85
95,8
55,35
86,46
81,25
26,10
34,92
38,47
88,35
69,13
54,74
82,3
23,72
26,38
57,73
99,89
49,18
57,66
54,99
82,46
83,75
96,12
16,3
13,78
45,58
5,24
55,95
8,46
93,77
49,28
53,25
83,31
26,76
54,2
72,87
40,22
100,5
72,73
19,84
70,62
12,10
84,91
82,90
40,86
55,100
27,82
